,Description,Classificació
408,El xicotet comerç ha rebut un colp molt fort amb el tancament de les botigues i ara tem que no els done temps per a vendre a preus de temporada abans de les rebaixes. Per això s'estàmobilitzant per a canviar la legislació al respecte. No són els únics.,"ECONOMIA, COMERÇ I FINANCES"
409,"A esta hora està en marxa la huitena conferència telemàtica de presidents autonòmics.Sobre la taula, la nova sol·licitud de pròrroga de l'estat d'alarma que ha demanat el president del govern espanyol i que compta amb retiències entre alguns líders autonòmics. Pedro Sánchez va anunciar ahir també que amb el començament demà de la fase zero de la desescalada els usuaris del transport públic hauran de dur obligatòriament mascaretes. Novetats també per a la fase 1, la següent,quan podrem reunirnos en grups de fins a 10 persones en domicilis o espais oberts. Segons Sánchez, el manteniment de l'estat d'alarma és essencial per a poder combatre el virus.OCTAVA CONFERÈNCIA DE PRESIDENTS",POLÍTICA
411,"La factoria Ford Almussafes torna al treball demà després de 50 dies de paralització. Ho farà de manera escalonada, amb l'aplicació d'un nou ERTO que estarà vigent fins a finals de juliol. L'empresa justifica este nou expedient en la caiguda de les matriculacions i la disminució de la producció.",INDÚSTRIA | TREBALL
412,"D'esta manera han felicitat les mares els alumnes del conservatori professional de música de València. Es tracta d'un treball realitzat per l'alumnat de l'assignatura de conjunt de corda d'ensenyaments elementals, que han volgut preparar esta felicitació durant el confinament amb l'ajuda del professorat.L'ALUMNAT DEL CONSERVATORI PROFESSIONAL DE VALÈNCIA FELICITA LES MARES",MÚSICA | SOCIETAT
413,Ll'Ajuntament d'Alacant autoritzarà totes les sol.licituts de bars i restaurants de la ciutat que vulguen servir a domicili o que opten perquè la clientela arreplegue el menjar. Es tracta d'una mesura d'urgència per a ajudar un sector que comença la desescalda demà.,"ECONOMIA, COMERÇ I FINANCES"
414,El sector de l'hostaleria ha rebut amb escepticisme l'augment de l'aforament màxim de les terrasses del 30 al 50 per cent. Asseguren que eixe augment no és suficient perquè els negocis siguen rendibles.,"ECONOMIA, COMERÇ I FINANCES"
415,Una aplicació molt estricta de les fases de la desescalada del confinament podria deixar en una situació delicada el Racó d'Ademús. Esta comarca de l'interior valencià fita amb Conca i Terol. Els seus 2MIL habitants han de passar obligatòriament per altres comunitats per a anar a l'hospital o aconseguir productes que no troben als seus pobles.,POLÍTICA | MEDICINA I SANITAT
416,"Per segon dia consecutiu, milers de persones han aprofitat la jornada per a fer esport al centre de les ciutats.En este cas són els jardins del Túria, a València. Córrer i anar amb bici han sigut les activitats preferides per a disfrutar de l'aire lliure. També els més majors han eixit a passejar en les seues franges horàries, tan matinals com vespertines. El panorama canvia a partir de demà, quan ja es podrà acudir a alguns negocis amb cita prèvia.SEGON DIA DE DESCONFINAMENT PER HORARIS",SOCIETAT
417,"I des d'À Punt li retem un homenatge a totes les mares, amb les fotos que ens han fet arribar per celebrar el dia. El vídeo complet es pot vore i compartir des de les nostres xarxes.",SOCIETAT
418,"En estat d'alarma i amb els fills 24 hores a casa, hi han hagut de fer malabarismes amb les tasques del dia a dia: teletreball, deures, reunions telemàtiques, jocs És la realitat de les mares en temps de confinament. Una situació complicada que no els ha esborrat el somriure. Hui les homenatgem en el Dia de la Mare.I viuen en una autèntica muntanya russa d'emocions.TALL 4'' raquel hay días buenos y otros un poco durosI, a pesar de tot, tenen el superpoder de veure la part positivaTALL 7'' Isabel La clau?TALL 2''Bea se necesita mucha mucha pacienciaPer això, gràcies de tot corTALL 3''i hui més que maiTALL 1114'' te queremos! ",SOCIETAT
419,"Les normes per a la desescalda generen molta incertesa en el sector cultural. En la fase dos del pla anunciat per Pedro Sánchez ja estaran permesos els actes culturals sempre que l'aforament no supere un terç de la sala, però encara és una incògnita com es faeran els assajos o les mesures que caldrà seguir dalt els escenaris.TALL Daniela González, Presidenta Federació de Societats Musicals Comunitat ValencianaLes respostes de moment hauran d'esperarTALL Raquel Tamarit, Secretària autonòmica de Cultura .Uns terminis que deixen els professionals amb poc de marge. A més, l'aforament limitat fa que per a les sales privades obrir no siga rentable.TALL Alfred PicoEn este context, la programació en sales públiques serà clauTALL Raquel TamaritEls espectacles i concerts de format reduït o a l'aire lliure són opcions que també baralla el sector ",CULTURA | MEDICINA I SANITAT
421,"La Inspecció de Treball i els sindicats investiguen ja fraus en l'aplicació dels ERTO a les empreses valencianes. Sobretot la d'empelats i empelades que, tot i estar acomiadats temporalment, seguixen treballant des de casa i cobrant de l'Estat. Un frau que es castiga amb multes de fins a 187 mil euros per treballador. / RÈTOL/El teletreball seria una de les principals fonts de frau. Seguixen treballant des de casa, tot i estar acomiadats temporalment i, per tant, cobrant de l'Estat, és a dir, de tots. Són el casos més difícils d'investigar per la Inspecció de Treball i afecten sobretot empreses menudes.Tall Francisco RogeroDirector territorial de la Inspecció de Treball i Seguretat Social "" somos concientes del nivel de fraude en el teletrabajo. Y nos preocupa. Para investigarlo habrá que requerir incluso la cooperación de las telefónicas""L'altre frau investigat seria el dels anomenats treballadors paracaigudistes.tall Rogero "" trabajadores que no formanan parte de la empresa cuando se tramita el ERTE y que reciben la prestación""/RÈTOL/ Dos pràctiques que se sancionen amb multes de fins a 187 mil euros per treballador, el retorn dels diners cobrats il·legalment i, en ocasions, també amb penes de presó.Aconseguir controlarho queda en mans de només 125 inspectors. S'encarreguen de supervisar el 63 mil ERTOS presentats a la Comunitat. Són més de 500 expedients per cap.Els sindicats impulsen també la investigació dels casos i animen a denunciar.tall Daniel Patiño "" hem de denunciar públicament al que comet la picaresca en este moment de crisi social on no es pot jugar amb els diners de tots"" Secretari Acció Sindical CCOOPerquè, com recorden, tot i ser fraus minINVESTIGUEN SI TREBALLADORS AFECTATS PER UN ERTO FAN TELETREBALL COBRANT DE L'ESTAT ESTOS FRAUS ESTAN SANCIONATS AMB MULTES DE FINS A 187.000 EUROS I PENES DE PRESÓ",JUSTÍCIA I ORDRE  PÚBLIC | TREBALL
423," La crisi provocada pel coronavirus fa que cada vegada hi haja més persones vulnerables i en risc d'exclusió social. La majoria ha perdut el treball i, amb ell, els ingressos que tenien. Les entitats benèfiques advertixen que les sol·licituds d'ajuda s'han triplicat i que el pitjor està per arribar. La pobresa és una corba que no ha deixat de créixer des que es va decretar l'estat d'alarma. Moltes families han hagut de recorrer als serveis socials arran de la crisi sanitària. Algunes d'elles per primera vegada. La major part, persones que han perdut el treball i no tenen els recursos per a satisfer les necessitats mes bàsiques, com ara el menjar. El Banc d'Aliments de València atén més de 40.000 persones i la previsió és que la xifra es duplique.Jaume Serra, Banc d'Aliments ESTEM ATENENT 237 CENTRES DE CARITAT, 43.000 PERSONES AL MES, I LA XIFRA ES DUPLICARÀ SEGUREmpreses, particulars i voluntaris fan la resta. Ajuden de manera desinteressada a través d'entitats com ara Càritas. Esta organització rep, només a València, 120 telefonades d'ajuda al dia. En estos moments sols proporciona atenció primària. Totes les entitats avisen que d'ací a unes setmanes vindrà la pitjor part.Fani Raga, Caritas València. QUE PASSARÀ QUAN NO PUGUEN PAGAR EL LLOGER, LA LLUM, L'AIGUALes entitats socials oferixen a hores d'ara uwww.valenciaacoge.org www.caritasvalencia.org www.bancodealimentosdevalencia.org",SOCIETAT
424," Més efectes col.laterals del coronavirus.El sector ramader de les ovelles està patint les conseqüències de l'aturada de l'economia: els escorxadors estan parats, el ramat s’acumula a les granges, el preu per cada ovella està per terra i a més, no hi ha esquiladors.","AGRICULTURA, RAMADERIA I PESCA | ECONOMIA, COMERÇ I FINANCES"
425,"Entre les 10 i les 12, les persones depenents han pogut eixir de nou el carrer. Precisament hui se celebra el segon Dia Nacional de la Convenció dels Drets de les Persones amb Discapacitat, una data per a posar de manifest els drets aconseguits per este col·lectiu.Julia i Salvador són dos veïns del barri amb mobilitat reduïda.Han passat una quarantena complicadaTALL Julia LaraTALL SantiagoAra han començat a eixir a passejarTALL Julia LaraNo obstant això, denuncien que la gent no complix els horarisTALL Julia LaraTambé la falta de solidaritatTALL SantiagoTot i l’adaptació de la majoria de les voreres, encara hi ha obstacles que els obliguen a fer un rodeig per anar a comprarTALL Julia LaraTall SantiagoLes associacions de persones amb discapacitat reivindiquen el compliment dels drets del col·lectiuTall Lina Soler Responsable de Comunicació i Incidència Social en COCEMFE Comunitat Valenciana ",SOCIETAT | URBANISME I HABITATGE
426,"El coronavirus ens deixa xifres esperançadores en este segon dia en què s'ha ampliant al conjunt de la població la possibilitat d'eixir a passejar o fer esport. A la Comunitat Valencia hem superat ja les 7MIL altes, el que suposa que el 60% dels contagis s'han curat. Més encara, els nous positIus són 172, quasi la mitat que ahir, i 8 persones han perdut la vida en les últimes 24 hores, el que deixa un balanç de vícitmes de MIL274.",MEDICINA I SANITAT
428,"Itàlia, el primer país europeu que ha patit massivament els efectes del coronavirus entra demà en una nova fase de desconfinament. Començaran a ser permeses les visites als familiars i caldrà vore si les noves mesures no aumenten els contagis. Europa a poc a poc intenta reprendre el pols mentre que a altres zones del planeta es troben ara en plena lluita i en el moment més delicat .",MEDICINA I SANITAT | POLÍTICA
429,"Una cooperant valenciana es una de les 4 víctimes de l'accident d'avioneta ocorregut a BolíviaEl vol formava part d' una operació per a repatriar quatre espanyols.Anaven a afegirse al vol que eixirà demà cap a Espanya, un viatge extraordinari perquè l'espai aèri bolivià està tancat per la crisi de la Covid19.La cooperant era membre de Psicòlegs sense Fronteres i havia estat treballant a Bolívia en un projecte que va finalitzar el mes passat. El president de la Generalitat, Ximo Puig, ha donat el condol a la família.Cooperant valenciana morta en accident a Bolívia",ACCIDENTS I CATÀSTROFES
430,Acostar la pintura a xiquets i xiquetes i convertirlos en protagonistes. És la proposta que el col·legi Bartomeu Llorens i Royo ha llançat a alumnat i professorat que han portat a la vida real les obres més importants de l'història de l'art.,ENSENYAMENT
431,"I per a celebrar un dia de la mare en família, À Punt els ha preparat doble sessió de cinema esta vespradaJust en acabar l''Atrapa'm si pots', podran vore 'La felicitat no arriba mai sola', una comèdia romàntica protagontizada per Sophie Marceau. A continuació, 'La Pesca del salmó al Iemen', una adaptació de la novel·la homònima en què Ewan McGregor tractarà de nadar a contracorrent.i LA PESCA DEL SALMÓ AL IEMENA la nit, tenim el primetime amb la sèrie FRANKIE DRAKE MYSTERIES. És un producte que anirà durant setmanes i que no està funcionant molt bé. Convindria fer alguna cosa en el NTC nit, a ser possible. VESPRADA DE CINEMA EN CASA",CINEMA | MITJANS DE COMUNICACIÓ
433,"El cuiner de Barx i estrella Michelín, Ricard Camarena i el seu proveïdor de carxofes, Toni Misiano, d'Albalat dels Sorells, s'han unit per a cuinar en directe per Instagram una autèntica delícia des del pati de sa casa. En ple temps de confinament, i només per a un equip d'À Punt Mèdia, ens han obert les portes de sa casa a Barx, a la Safor, per a esta 'master class'.RICARD CAMARENA DES DE BARX CUINA PER INTERNET EMOCIó i germanor a Albalat dels Sorells i Barx RICARD TRIA PRODUCTE DE PROXIMITAT",GASTRONOMIA
435,"Gran manifestacióa Trípoli, la ciutat més poblada del Líban, que en els últims dies ha sigut escenari de les protestes més violentes. Hui, marxes de tot el país conflueixenallí per a demanar una investigació sobre la mort d'un jove per trets de la policia. Els fets ocorren en un moment de greu crisi econòmica: el govern libanés ha demanat ajuda al Fons Monetari Internacional. A Trípoli està Alícia Medina",POLÍTICA | JUSTÍCIA I ORDRE  PÚBLIC
437,"Esta és la festa que s'han muntat els veïns d'un barri de Godella. Sevillanes, balls i ventalls als balcons d'esta comunitat per a celebrar que anit acabava la Fira d'Abril de Sevilla. Una fira que, com tantes altres festes enguany, no s'ha pogut fer per culpa del coronavirus. Tot i això, els ànims i l'alegria no els han faltatLA FIRA D'ABRIL, ALS BALCONS DE GODELLA",SOCIETAT | FESTES I TRADICIONS
438,"El Butlletí Oficial de l'Estat encara no ha publicat les primeres mesures per a la desescalada però, poc a poc anem coneixent els detalls de com seran els primers pasos del desconfinament. S'amplia l'aforament de les terrasses en la fase 1 del 30 al 50 per cent de la capacitat i es podran reunir grups d'amics i familiars de fins a 10 persones.","POLÍTICA | MEDICINA I SANITAT | ECONOMIA, COMERÇ I FINANCES"
439," Les brigades forestals de la Diputació de València ja han començat les tasques de vigilància contra els incendis. Gràcies en bona part al confinament, els focs han disminuït un 50% en el primer trimestre de 2020 a les muntanyes valencianes. Tot i això s'espera un estiu complicat pel gran augment de vegetació a causa de les pluges.",MEDI AMBIENT
440,"I un altre dels assumptes que s'ha tractat en esta reunió ha sigut com arribaran els 16 MIL milions d'euros del fons especial que ahiranunciava el Govern d'Espanya per a les comunitats autònomes, que no s'haurà de reemborsar. Són 10 MIL milions per a despesa sanitària, 5 MIL per a alleugerir la caiguda de l'activitat econòmica i MIL per a ajuda social. A més, l'Estat desbloquejarà una tercera línia d'avals públics de 20 MIL milions, per a garantir la liquiditat al teixit productiu i que es dirigix sobretot a pimes i autònoms.16.000 MILIONS PER A LES COMUNITATS AUTÒNOMES",POLÍTICA
442,"Pel que fa al conjunt de l'estat, hui s'ha registrat la xifra més baixa de morts des del passat 18 de març. Han mort 164 persones i el total supera els 25MIL 200. Els nous casos detectats per PCR també baixen a les dades de març i no superen el miler, mentre que les altes ja tripliquen els ingressos.",MEDICINA I SANITAT
443," Hui se celebra el Dia de la Mare, i les floristeries treballen a estall per primera vegada des de l'inici de la crisi. Es tracta d'un sector molt castigat per la suspensió de celebracions socials i festives, però que ara s'ha vist sorprés per una demanda superior a l'esperada.",SOCIETAT
444, Les càmeres d'À Punt han entrat a la Unitat de Cures Intensives de La Fe on els equips sanitaris estan salvant literalment la vida als pacients més greus de la Covid19. Es tracta de persones amb un nivell tan crític d'inflamació dels òrgans que en alguns casos no poden aspirar oxígen ni amb l'ajuda de respiradors artificials.,MEDICINA I SANITAT
446,"Hui es complixen 2 anys de la dissolució completa i definitiva de la banda terrorista ETA i les víctimes denuncien que encara queden 358 assassinats sense resoldre. Ésel 40 per cent del total de crims que va cometre la banda criminal. Encara queden per resoldre qüestions com el procés de convivència que han quedat en segon pla enmig d'esta pandèmia pel coronavirus.L'endemà, el grup internacional de Contacte, el Fòrum Social i l'associació Bake Bidea organitzaren un encontre internacional per a escenificar amb solemnitat la fi d'ETA. Acudiren representants institucionals, polítics i sindicals.Hui, dos anys després, en plena pandèmia per la Covid19 les preocupacions de la societat i els polítics han deixat en un segon pla la banda terrorista ETA.IMANOL ERTZAINTZA.17 seg. Esta asentado y ya es definitivo costava creerQui no olvida són les víctimes. Denuncien més de 350 casos per resoldre i continuen exigint la dissolució de la banda terrorista.CONSUELO ORDOÑEZeta no esta disueltaTambé ha quedat estancat el procés de convivència que havia de seguir la desaparició total de la violència. ",POLÍTICA | TERRORISME
447," En acabar la reunió, Ximo Puig farà una roda de premsa que els oferirem en directe. El debat gira al voltant de la divisió del territori per a fer la desescalada. El Govern d'Espanya defén que la provincia és fàcil d'entendre i eficaç, mentre que des de la Generalitat s'apel·la als departaments de salut. Encara no s'ha dit l'última paraula per a organitzar la desescalada i el president de la Generalitat defén en estos moments la divisió en departaments de salut a la Comunitat Valenciana.El govern del Botànic entén que la divisió provincial és una mesura administrativa que en cap cas respon a la incidència real de la pandèmia.TALL OLTRASón els departaments de salut els que estan centralitzant les possibles incidències i fent el seguiment epidemiològic. És molt raonable que si en un moment donat un pico, un brot que afecte a un departament de salut, que no afecte a tota la província.Fentho per províncies, una persona d'Oliva i una de Dénia no podrien passar d'una a l'altra població a pesar que estan juntes i les dos pertanyen a una àrea de salut amb poca incidència del virus. Però una veïna de Requena, que pertany a l'àrea de salut més saturada, podria desplaçarse fins Gandia, on hi ha poca incidència. El comité d'experts que assessora el Consell recomana fugir de la divisió provincial.Falta convénver el president del govern espanyol,TALL SÁNCHEZ Humildemente creemos, por los que nos dicen los expertos, que la unidad de acción tiene que ser la provincia, y le voy a explicar por qué. Si yo le preguntara a cada uno de los españoles cual es el área sanitaria, lo saben? podrían decir, no puedo pasar de esta calle porque me paso de área?Amb tot, Pedro Sánchez deixa la porta oberta a una altra possibilitat, sempre que es justifique i es garantisca l'aïllament, i per altra part, caldria informar la ciutadania de",POLÍTICA | MEDICINA I SANITAT
449,"CASUÍSTICA DE PLATGESALGUNES JA OBERTES I ALTRES NO1La costa i la platja formen part del nostre territori, però no són unes àrees accesibles com poden ser altres entorns naturals, com ara l’horta o la serra. Mentre les platges de les grans urbs continuen tancades, en alguns llocs com ara MorairaTeulada o el Campello es permet des de hui la pràctica d’esports nàutics. Les condicions són precises: esports sense motor, estar federat i ferlo de forma individual.",MEDICINA I SANITAT | TURISME
452,"VENEÇUELACOLÒMBIA TENSIÓ1Veneçuela denuncia que un grup de mercenaris procedents de Colòmbia han intentat invadir el seu territori per via maritíma. Un enfrontament armat, que s'hauria saldat amb huit morts i dos detinguts. El govern de Colòmbia negat la seua implicació i l'oposició veneçolana creu que tot és un muntatge dels partidaris de Maduro, qui encara no ha fet cap declaració al respecte.VENEÇUELA DENUNCIA UN INTENT D'INVASIÓ",DEFENSA
455,"PASTILLA ÁBALOS 1I per cert, que acabem de saber que fa uns minuts Pedro Sánchez ha telefonat a Pablo Casado per a informarlo de la proposta d'una nova pròrroga de l'estat d'alarma. La conversa hauria durat una hora i segons l'executiu la idea transmesa per Casado és que el seu grupvotarà NO a la pròrroga. Des del govern espanyol insistixen que l'estat d'alarma és l'únic instrument per a lluitar contra la pandèmia i que sense esta mesura estaríem abocats al""caos i el desorde"".",POLÍTICA
457,"PLATÓ BREUS HOQUEI FINAL TEMPORADA 1La suspensió abrupta de la Lliga ha impedit que el PatíAlcodiam Salesià torne a la màxima categoria de l'hoquei sobre patins. La Federació Espanyola de Patinatge ha decidit que pugen els primers de grup de la categoria de plata. El líder, el Vendrell estarà en l'OK lliga. L'Alcodiam, segon classificat, estava a només tres punts de l'equip català i encara tenia pendent el partit contra el líder.L'ALCODIAM ES QUEDA A LES PORTES DE L'ASCENS",ESPORTS
459,"TANCA ROCKDELUX 1Tanca la revista 'Rockdelux', tot un símbol de la premsa musical espanyola.Han sigut 35 anys i quasi 400 números d'una publicació cosmopolita i un referent, sobretot, per a la música independent. Este matí, des de Barcelona se n'ha anunciat el tancament. Diuen que la inesperada crisi econòmica del coronavirus no ha sigut la causa directa, però sí que ha accelerat tot el procés. Seguidors i professionals de la música com ara Joe Crepúsculo o Leonor Watling han mostrat en les xarxes la seua tristesa per la notícia.TANCA LA REVISTA MUSICAL 'ROCKDELUX'",TREBALL
460,"MUNICIPIS CASTELLÓ MENYS DE 5000 HABITANTS MOBILITAT 1A les comarques del nord, 115 municipis amb menys de 5.000 habitants gaudixen de poder eixir al carrer sense resctriccions horaries, ara bé la falta de serveis o de tendes en alguns d'estos pobles els havia deixat en una situació particular durant la quarantena. Ara, amb l'inici de la desescalada, també agraïxen poder anar als pobles del costat que sí que tenen comerços i altres serveis.",MEDICINA I SANITAT
461,"CRÒNICA POLÍTICA EPer primera des que va començar esta crisi sanitària, la pròrroga de l'estat d'alarma està en l'aire. Dimecres que ve el Congrés ha d'aprovar la tercera pròrroga i a hores d'ara el govern espanyol no té garantits els suports que necessita. El Partit Popular creu que no té sentit mantindre la situació excepcional i podria prémer el botó del NO: objeccions que també mantenen els nacionalistes bascos i catalans i les comunitats governades pel Partit Popular.  tall Pedro Sánchez dissabte ""¿Hay plan B? No hay plan B. El único plan es el plan del estado de alarma""D'esta manera Pedro Sánchez traslladava la pressió als partits polítics i assegurava que, sense estat d'alarma no es podrien aplicar mesures tan restrictives com el confinament o no podrien mantindre les ajudes econòmiques. El PP contestava hui.tall Pablo Casado ""lo que escuché el sábado es un chantaje+los partidos han de tener plan A, B, C, D, E y el que haga faltaI s'obrin a no votar a favor de la pròrroga.tall Pablo Casado ""el estado de alarma prorrogado a partir de esta semana no tienen ningún sentido. El PP a día de hoy y con la información que tenemos considera que no podemos apoyar el estado de alarma+con la desescalada ya no hace falta estado de alarma por cuanto estan diciendo que quieren llegar a una nueva normalidad""Casado exigix desvincular les prestacions dels ERTO del decret d'alarma i aposta per legislar amb normes com ara la de Salut Pública, la de Seguretat Nacional o la de Protecció Civil.Els socis de govern de Sánchez creuen que les paraules de Casado són una amenaça que podrien portar al rebrot dels contagis i al col·lapse sanitari. [tuit Echenique]Les comunitats governades pel PP es mostren crítiques amb l'amplicació de l'estat d'alarma. També nacionalistes catalans i bascos que reclamen major participació de les autonomies.tall OrtDissabte",POLÍTICA
462,"PLATÓ IMATGE TORNADA ESPORTS 1 OKKBona vesprada. Afrontem una setmana clau, en el món de l'esport. Els clubs professionals faran test del coronavirus a les seues plantilles i tornaran als entrenaments individuals.Este matí hem estat a les ciutats esportives del València, del Villarreal i del Llevant on s'han fet tasques de desinfecció de les instal.lacions. De moment sense jugadors. Han d'extremarse les mesures sanitàries abans que comence l'activitat. On sí que hem vist esportistes és en el València Basket, on han començat hui a fer les anàlisis per a descartar que en la plantilla tenen membres amb la Covid19.PREPARANT LA TORNADA",ESPORTS
463,SUPORT DIRECTE REQUENA d'Elena Andreu,RECURSOS TERRITORIALS
464,"REPARTMENT MASCARETES TRANSPORT PÚBLIC 14.500 policies, guàrdies civils i voluntaris de Protecció Civil ja estan repartint mascaretes debades en les estacions de metro, autobús i tren de la Comunitat Valenciana. Des d'este dilluns és obligatori l'ús en el transport públic. Aquells que agafen hui el metro o l'autobús també han de saber que només es podran ocupar la meitat dels seients disponibles i la fila de darrere del conductor sempre ha d'estar buida. Si van drets només hi podrà haver dos viatgers per metre quadrat.MASCARETES OBLIGATÒRIES AL TRANSPORT PÚBLIC",MEDICINA I SANITAT | TRANSPORTS I COMUNICACIONS
465,"DESESCALADA EUROPA1Este dilluns 4 de maig també és un dia clau per a diversospaïsos europeus a l'hora d'anar recuperant la vida quotidiana. A poc a poc, cada país reprén al seu ritme les activitats. Una de les excepcions més notables és la del Regne Unit, on encara no tenen plans de desescalada.",MEDICINA I SANITAT
466,"ARRANCA LA FASE 01Arranca la fase 0 de desconfinament. Un primer pas que s'allargarà fins dilluns que ve i que permet donar els primers passos cap a una nova normalitat en la lluita contra el coronavirus. Abans d'anar en directe al carrer per a vore com es viu la jornada, ens situem. A partir de hui, qui pot obrir i com? Paren atenció.","MEDICINA I SANITAT | ECONOMIA, COMERÇ I FINANCES"
468,"MUVIM NOU VÍDEO DONES I CIÈNCIA1La matemàtica afroamericana Dorothy Vaughan és la protagonista del contacontes d'esta setmana del Museu Valencià de la Il·lustració de València. A les seues xarxes socials trobem esta història de la sèrie ""Dones i ciència"" que parla de les dones pioneres en diverses disciplines, dones invisibilitzades i en este cas, per doble motiu, ser dona i negra. De Vaughan, ens recorden que va treballara a la NASA superant els problemes de segregació racial de l'època.UN CONTE IL·LUSTRAT PARLA DE DOROTHY VAUGHAN",SOCIETAT
469,"PLATÓ BREUS HANDBOL 1I què passa en la resta d'esports? Les novetats arriben amb comptagotes. Esta vesprada sabrem com queden les lligues d'handbol.En principi, la comissió delegada de la Federació refrendarà la cancel·lació dels campionats sense descensos. Si és així, l'Handbol Benidorm jugaria per primera vegada en Europa per ser subcampió de la Copa del Rei. L' Elx, segon de la Lliga Guerreras, estariaa Europa i el Morvedre, primer del seu grup, disputarà la pròxima temporada en la màxima categoria de l'handbol femení.ESTA VESPRADA SE SAP COM QUEDA L'HANDBOL",ESPORTS
470,"RESUM ENTREVISTA ECONOMISTA IVIE 1La destrucció d’ocupació serà una de les pitjors conseqüències de la crisi econòmica provocada pel coronavirus. Així ho assegurat a 'Les notícies del matí' el Premi Jaume Primer d'Economia, José García Montalvo. El canvi de model productiu, destaca, es fa ara més necessari que mai.","ECONOMIA, COMERÇ I FINANCES | TURISME"
471,"VTR FALS DIRECTE PATERNA VCF1afectats pel coronavirus, amb un 35% de casos positius entre jugadors i tècnics ",ESPORTS
472,"PLATÓ BREUS HLA BÀSQUET 1En la lliga LEB OR de bàsquet estan pendents de la decisió de la Federació Espanyola sobre els ascensos a l'ACB. Un dels implicats en esta lluita és l'HLA Alacant. Si finalment hi ha playoff, els de Rivero tractaran de ferse amb una de les dos places que donen accés a la màxima categoria. Precisament hui es complix un any de l'ascens dels alacantins a la Leb Or.ES COMPLIX UN ANY DE L'ASCENS DE L'HLA ALACANT",ESPORTS
476,"REPATRIACIÓ VOLUNTÀRIA PSICÒLOGUES SENSE FRONTERES 1La família de la jove cooperant valenciana que este diumenge va perdre la vida en el vol que l'havia de repatriar a Espanya amb dos persones més està a l'espera de conéixer quan començaran els tràmits per a la repatriació de les restes mortals.L'ONGD on la xica era voluntària, Psicòlogues i Psicòlegs sense Fronteres, està prestant ajudapsicològica als familiars i han publicat un comunicat recordant la vessant solidària de la jove, que feia 7 mesos que col·laborava en un projecte per a ajudar dones bolivianes víctimes de violència masclista.A l'espera que es repatrien les restes mortals",ACCIDENTS I CATÀSTROFES
478,"DADES ERTOS A LA COMUNITAT VALENCIANA 1Actualitzem les xifres de població afactada per ERTO. A dia de hui, més de 393.000 valencians i valencianes estan sense faena de manera temporal, per un expedient temporal de regulació d'ocupació.Segons les dades que acaba de facilitar la Conselleria de Treball, s'han resolt ja més de 54.000 ERTO dels vora 64.000 presentats per empreses a la Comunitat Valenciana. Serveis, indústria, construcció i agricultura són, per este orde, els sectors on més expedients s'han registrat amb motiu de la paralització de l'activitat econòmica pel coronavirus.MÉS DE 393.000 PERSONES AFECTADES PER UN ERTO",TREBALL
479,"REUNIÓ MESA DE LES CORTS1La Mesa de les Corts s'ha reunit hui per a concretar les mesures tècniques i de seguretat que puguen permetre reobrir la cambra autonòmica.La Mesa traslladarà demà a la junta de síndics el seu informe. Els socis del Botànic: socialistes, Compromís i Unides Podem han registrat una petició per reprendre l'activitat la setmana que ve. L'oposició en ple ho ha demanat en les últimes juntes de síndics i el Partit Popular va anunciar que portaria al Tribunal Constitucional el tancament del període de sessions de les CortsLA MESA DE LES CORTS PREPARA LA REPRESA",POLÍTICA
480,"DOS XIQUES MOSTREN RIQUESA DEL VALENCIÀ 2Dos mestres, una de Xàbia i una altra de Benicarló, han començat un repte de paraules en Twitter. Volen demostrar la diferència de mots que hi ha per a designar un mateix objecte i la riquesa lingüística que tenim al llarg de la Comunitat Valenciana.",ENSENYAMENT
481,"FORD REPRÉN ACTIVITAT1La planta de Ford a Almussafes ha représ l'activitat este dilluns. Després de set setmanes parada, la factoria de vehicles comença un pla d'arrancada gradual.Hui està acudint a la faena el 60 per cent de la plantilla, ja que ha entrat en vigor un nou ERTO que s'aplicarà fins al 31 de juliol. D'altra banda, la plantilla dels centres de Nissan a Barcelona han iniciat una vaga indefinida per a exigir un pla industrial en el dia que s'havia de reprendre parcialment la producció.FORD ALMUSSAFES REPRÉN L'ACTIVITAT AMB UN ERTO",TREBALL
482,"AJUNTAMENT DE VALÈNCIA DESTINA FONS BIBLIOGRÀFICS OKEls parlem ara d'una mesura amb què es vol fer costat al sector del llibre valencià, un dels més castigats per les conseqüències del confinament. L'Ajuntament de València comprarà llibres per valor de 80 mil euros per a completar els fons de les biblioteques municipals. Ho farà a més directament als establiments de la ciutat i a editorials valencianes.",CULTURA
483,"MASCARETES OBLIGATÒRIES EN TRANSPORT PÚBLIC1Els taxis continuen amb el motor en marxa, però hi regna la incertesa. A la Comunitat Valenciana hi ha 4.700 llicències de taxi, i el sector afirma que 7.000 conductors noten ja l'impacte d'esta crisi. ",TRANSPORTS I COMUNICACIONS | MEDICINA I SANITAT
484,"DESESCALADA EN ESPANYA QUI COMENÇA I QUI NO FASE 0 1A la resta de l'Estat, les illes canàries de La Gomera, El Hierro i La Graciosa, i Formentera a les Balears són els únics territoris on hui s'ha iniciat la desescalada directament des de la fase 1. La cogovernança obliga les autonomies a sol.licitar l'autorització del govern espanyol per aplicar propostes específiques per a passar de fase.",MEDICINA I SANITAT | TURISME
