ESPORTS% 95653
JUSTÍCIA I ORDRE  PÚBLIC% 39042
POLÍTICA% 30031
SOCIETAT% 23588
ACCIDENTS I CATÀSTROFES% 21180
FESTES I TRADICIONS% 13458
MEDICINA I SANITAT% 12099
ECONOMIA, COMERÇ I FINANCES% 12040
AGRICULTURA, RAMADERIA I PESCA% 8209
MEDI AMBIENT% 8067
FENÒMENS NATURALS% 8061
TRANSPORTS I COMUNICACIONS% 7762
TERRORISME% 6091
CONFLICTES ARMATS% 5946
CULTURA% 4684
MÚSICA% 4330
URBANISME I HABITATGE% 4092
TURISME% 4005
CINEMA% 3838
OBRES PÚBLIQUES I INFRAESTRUCTURES% 3817
TREBALL% 3776
ARTS% 3458
ENSENYAMENT% 3191
CIÈNCIA I INVESTIGACIÓ% 2981
RELIGIÓ% 2929
RELACIONS INTERNACIONALS% 2859
ESPECTACLES% 2396
MITJANS DE COMUNICACIÓ% 2018
INDÚSTRIA% 1939
ENERGIA% 1345
DEFENSA% 1225
GASTRONOMIA% 1013
LITERATURA% 613
HISTÒRIA% 605
ESPORTS | ESPORTS% 447
ECONOMIA, COMERÇ I FINANCES | OBRES PÚBLIQUES I INFRAESTRUCTURES% 4
POLÍTICA | TERRORISME | JUSTÍCIA I ORDRE  PÚBLIC% 4
ENERGIA | RELACIONS INTERNACIONALS% 4
RELIGIÓ | CULTURA% 4
ESPORTS | GASTRONOMIA% 4
ENSENYAMENT | URBANISME I HABITATGE% 4
JUSTÍCIA I ORDRE  PÚBLIC | POLÍTICA | SOCIETAT% 4
ACCIDENTS I CATÀSTROFES | RELIGIÓ% 4
TREBALL | ECONOMIA, COMERÇ I FINANCES | POLÍTICA% 4
SOCIETAT | POLÍTICA | JUSTÍCIA I ORDRE  PÚBLIC% 4
AGRICULTURA, RAMADERIA I PESCA | ENSENYAMENT% 4
POLÍTICA | RELACIONS INTERNACIONALS | ECONOMIA, COMERÇ I FINANCES% 4
HISTÒRIA | MITJANS DE COMUNICACIÓ% 4
ENSENYAMENT | ARTS% 4
MITJANS DE COMUNICACIÓ | MEDI AMBIENT% 3
TURISME | RELACIONS INTERNACIONALS% 3
HISTÒRIA | TURISME% 3
CULTURA | MEDI AMBIENT% 3
ECONOMIA, COMERÇ I FINANCES | TURISME | POLÍTICA% 3
POLÍTICA | SOCIETAT | JUSTÍCIA I ORDRE  PÚBLIC% 3
ECONOMIA, COMERÇ I FINANCES | LITERATURA% 3
CONFLICTES ARMATS | HISTÒRIA% 3
FENÒMENS NATURALS | CIÈNCIA I INVESTIGACIÓ% 3
MITJANS DE COMUNICACIÓ | ACCIDENTS I CATÀSTROFES% 3
MEDI AMBIENT | TREBALL% 3
TREBALL | MEDI AMBIENT% 3
RELIGIÓ | ESPORTS% 3
ENERGIA | AGRICULTURA, RAMADERIA I PESCA% 3
TAUROMÀQUIA | SOCIETAT% 3
MEDICINA I SANITAT | GASTRONOMIA% 3
GASTRONOMIA | MEDICINA I SANITAT% 3
CINEMA | HISTÒRIA% 3
RECURSOS TERRITORIALS | TURISME% 3
JUSTÍCIA I ORDRE  PÚBLIC | ARTS% 3
CULTURA | OBRES PÚBLIQUES I INFRAESTRUCTURES% 3
LITERATURA | JUSTÍCIA I ORDRE  PÚBLIC% 3
MEDICINA I SANITAT | SOCIETAT | JUSTÍCIA I ORDRE  PÚBLIC% 3
ENSENYAMENT | RELIGIÓ% 3
MÚSICA | ESPORTS% 3
ENSENYAMENT | MÚSICA% 3
INDÚSTRIA | ENERGIA% 3
RECURSOS TERRITORIALS | MEDI AMBIENT% 3
GASTRONOMIA | INDÚSTRIA% 3
RELIGIÓ | RELACIONS INTERNACIONALS% 3
MEDICINA I SANITAT | ESPECTACLES% 3
ARTS | HISTÒRIA% 3
ESPECTACLES | MEDICINA I SANITAT% 3
POLÍTICA | SOCIETAT | FESTES I TRADICIONS% 3
LITERATURA | MITJANS DE COMUNICACIÓ% 3
CIÈNCIA I INVESTIGACIÓ | JUSTÍCIA I ORDRE  PÚBLIC% 3
TRANSPORTS I COMUNICACIONS | AGRICULTURA, RAMADERIA I PESCA% 3
RELIGIÓ | ENSENYAMENT% 3
FENÒMENS NATURALS | ENSENYAMENT% 3
LITERATURA | ESPORTS% 3
INDÚSTRIA | JUSTÍCIA I ORDRE  PÚBLIC% 3
ACCIDENTS I CATÀSTROFES | MITJANS DE COMUNICACIÓ% 3
FENÒMENS NATURALS | URBANISME I HABITATGE% 3
FENÒMENS NATURALS | POLÍTICA% 3
URBANISME I HABITATGE | FENÒMENS NATURALS% 3
ACCIDENTS I CATÀSTROFES | CULTURA% 3
TRANSPORTS I COMUNICACIONS | ENSENYAMENT% 3
MITJANS DE COMUNICACIÓ | LITERATURA% 3
MEDICINA I SANITAT | RELIGIÓ% 3
MITJANS DE COMUNICACIÓ | TRANSPORTS I COMUNICACIONS% 3
MÚSICA | CULTURA% 3
SOCIETAT | MEDICINA I SANITAT | POLÍTICA% 3
LITERATURA | CINEMA% 3
ECONOMIA, COMERÇ I FINANCES | FENÒMENS NATURALS% 3
CULTURA | AGRICULTURA, RAMADERIA I PESCA% 3
FESTES I TRADICIONS | FESTES I TRADICIONS% 3
ARTS | CIÈNCIA I INVESTIGACIÓ% 3
RELACIONS INTERNACIONALS | AGRICULTURA, RAMADERIA I PESCA% 3
ECONOMIA, COMERÇ I FINANCES | CONFLICTES ARMATS% 3
CONFLICTES ARMATS | ECONOMIA, COMERÇ I FINANCES% 3
URBANISME I HABITATGE | CULTURA% 3
TERRORISME | MITJANS DE COMUNICACIÓ% 3
TRANSPORTS I COMUNICACIONS | TERRORISME% 3
POLÍTICA | CINEMA% 3
MEDICINA I SANITAT | TERRORISME% 3
RELIGIÓ | CONFLICTES ARMATS% 3
INDÚSTRIA | FESTES I TRADICIONS% 3
ACCIDENTS I CATÀSTROFES | CONFLICTES ARMATS% 3
ESPORTS | TERRORISME% 3
FESTES I TRADICIONS | OBRES PÚBLIQUES I INFRAESTRUCTURES% 3
ACCIDENTS I CATÀSTROFES | INDÚSTRIA% 3
FENÒMENS NATURALS | MEDICINA I SANITAT% 3
ECONOMIA, COMERÇ I FINANCES | MÚSICA% 3
AGRICULTURA, RAMADERIA I PESCA | ENERGIA% 3
CIÈNCIA I INVESTIGACIÓ | FENÒMENS NATURALS% 3
RELIGIÓ | URBANISME I HABITATGE% 3
ENERGIA | CIÈNCIA I INVESTIGACIÓ% 3
RELACIONS INTERNACIONALS | RELIGIÓ% 3
OBRES PÚBLIQUES I INFRAESTRUCTURES | ARTS% 3
POLÍTICA | JUSTÍCIA I ORDRE  PÚBLIC | TERRORISME% 3
RELIGIÓ | ACCIDENTS I CATÀSTROFES% 3
MÚSICA | ARTS% 3
FESTES I TRADICIONS | MEDI AMBIENT% 3
TREBALL | SOCIETAT | POLÍTICA% 3
TREBALL | ENERGIA% 3
TERRORISME | TRANSPORTS I COMUNICACIONS% 3
ARTS | ESPECTACLES% 3
OBRES PÚBLIQUES I INFRAESTRUCTURES | OBRES PÚBLIQUES I INFRAESTRUCTURES% 3
TERRORISME | JUSTÍCIA I ORDRE  PÚBLIC | POLÍTICA% 3
ECONOMIA, COMERÇ I FINANCES | MITJANS DE COMUNICACIÓ% 3
MÚSICA | POLÍTICA% 3
ACCIDENTS I CATÀSTROFES | ENSENYAMENT% 3
FENÒMENS NATURALS | JUSTÍCIA I ORDRE  PÚBLIC% 3
MEDI AMBIENT | MITJANS DE COMUNICACIÓ% 3
ECONOMIA, COMERÇ I FINANCES | TREBALL | POLÍTICA% 3
MEDICINA I SANITAT | FENÒMENS NATURALS% 3
MEDICINA I SANITAT | SOCIETAT | POLÍTICA% 3
ECONOMIA, COMERÇ I FINANCES | ARTS% 3
CIÈNCIA I INVESTIGACIÓ | POLÍTICA% 3
SOCIETAT | TAUROMÀQUIA% 3
JUSTÍCIA I ORDRE  PÚBLIC | FENÒMENS NATURALS% 3
SOCIETAT | DEFENSA% 3
CINEMA | ECONOMIA, COMERÇ I FINANCES% 3
TAUROMÀQUIA | FESTES I TRADICIONS% 3
TAUROMÀQUIA | ACCIDENTS I CATÀSTROFES% 3
AGRICULTURA, RAMADERIA I PESCA | GASTRONOMIA% 3
ACTUALITAT ROSA | POLÍTICA% 3
FESTES I TRADICIONS | ENSENYAMENT% 2
SOCIETAT | JUSTÍCIA I ORDRE  PÚBLIC | ENSENYAMENT% 2
ESPORTS | CULTURA% 2
TRANSPORTS I COMUNICACIONS | DEFENSA% 2
CULTURA | MITJANS DE COMUNICACIÓ% 2
MEDI AMBIENT | LITERATURA% 2
CIÈNCIA I INVESTIGACIÓ | URBANISME I HABITATGE% 2
MÚSICA | MEDI AMBIENT% 2
TURISME | ARTS% 2
MÚSICA | ECONOMIA, COMERÇ I FINANCES% 2
RELACIONS INTERNACIONALS | POLÍTICA | ECONOMIA, COMERÇ I FINANCES% 2
ENSENYAMENT | FENÒMENS NATURALS% 2
ESPORTS | FENÒMENS NATURALS | ACCIDENTS I CATÀSTROFES% 2
OBRES PÚBLIQUES I INFRAESTRUCTURES | SOCIETAT | MEDI AMBIENT% 2
ESPORTS | RELACIONS INTERNACIONALS% 2
JUSTÍCIA I ORDRE  PÚBLIC | CIÈNCIA I INVESTIGACIÓ% 2
INDÚSTRIA | GASTRONOMIA% 2
MEDI AMBIENT | CULTURA% 2
URBANISME I HABITATGE | RELIGIÓ% 2
ARTS | MEDI AMBIENT% 2
GASTRONOMIA | MEDI AMBIENT% 2
RELIGIÓ | ECONOMIA, COMERÇ I FINANCES% 2
URBANISME I HABITATGE | ARTS% 2
SOCIETAT | RECURSOS TERRITORIALS% 2
FESTES I TRADICIONS | ARTS% 2
MITJANS DE COMUNICACIÓ | FENÒMENS NATURALS% 2
MEDI AMBIENT | MÚSICA% 2
GASTRONOMIA | MITJANS DE COMUNICACIÓ% 2
ENERGIA | URBANISME I HABITATGE% 2
ESPORTS | INDÚSTRIA% 2
TREBALL | RELIGIÓ% 2
HISTÒRIA | LITERATURA% 2
MEDICINA I SANITAT | CULTURA% 2
ARTS | MEDICINA I SANITAT% 2
CIÈNCIA I INVESTIGACIÓ | TURISME% 2
TURISME | CIÈNCIA I INVESTIGACIÓ% 2
URBANISME I HABITATGE | TREBALL% 2
MEDICINA I SANITAT | RECURSOS TERRITORIALS% 2
ARTS | GASTRONOMIA% 2
ARTS | ESPORTS% 2
POLÍTICA | TREBALL | ECONOMIA, COMERÇ I FINANCES% 2
URBANISME I HABITATGE | MEDICINA I SANITAT% 2
JUSTÍCIA I ORDRE  PÚBLIC | ESPECTACLES% 2
ACCIDENTS I CATÀSTROFES | ACCIDENTS I CATÀSTROFES% 2
MEDICINA I SANITAT | CONFLICTES ARMATS% 2
CINEMA | MEDICINA I SANITAT% 2
ARTS | JUSTÍCIA I ORDRE  PÚBLIC% 2
MITJANS DE COMUNICACIÓ | TURISME% 2
CIÈNCIA I INVESTIGACIÓ | CULTURA% 2
MÚSICA | MEDICINA I SANITAT% 2
TERRORISME | ENSENYAMENT% 2
CIÈNCIA I INVESTIGACIÓ | ARTS% 2
ACCIDENTS I CATÀSTROFES | POLÍTICA | SOCIETAT% 2
RELACIONS INTERNACIONALS | ESPORTS% 2
ESPORTS | LITERATURA% 2
URBANISME I HABITATGE | CIÈNCIA I INVESTIGACIÓ% 2
GASTRONOMIA | TURISME% 2
DEFENSA | TERRORISME% 2
TERRORISME | ACCIDENTS I CATÀSTROFES% 2
CINEMA | ESPORTS% 2
MITJANS DE COMUNICACIÓ | RELACIONS INTERNACIONALS% 2
FENÒMENS NATURALS | ECONOMIA, COMERÇ I FINANCES% 2
TRANSPORTS I COMUNICACIONS | POLÍTICA | OBRES PÚBLIQUES I INFRAESTRUCTURES% 2
OBRES PÚBLIQUES I INFRAESTRUCTURES | TRANSPORTS I COMUNICACIONS | ACCIDENTS I CATÀSTROFES% 2
URBANISME I HABITATGE | MITJANS DE COMUNICACIÓ% 2
URBANISME I HABITATGE | HISTÒRIA% 2
POLÍTICA | ECONOMIA, COMERÇ I FINANCES | SOCIETAT% 2
RELIGIÓ | DEFENSA% 2
CULTURA | URBANISME I HABITATGE% 2
RELIGIÓ | MÚSICA% 2
FESTES I TRADICIONS | URBANISME I HABITATGE% 2
ECONOMIA, COMERÇ I FINANCES | POLÍTICA | JUSTÍCIA I ORDRE  PÚBLIC% 2
MEDICINA I SANITAT | TRANSPORTS I COMUNICACIONS | JUSTÍCIA I ORDRE  PÚBLIC% 2
TURISME | MITJANS DE COMUNICACIÓ% 2
TERRORISME | ESPORTS% 2
ENERGIA | DEFENSA% 2
TURISME | RECURSOS TERRITORIALS% 2
ECONOMIA, COMERÇ I FINANCES | POLÍTICA | TREBALL% 2
DEFENSA | RELACIONS INTERNACIONALS | CONFLICTES ARMATS% 2
ECONOMIA, COMERÇ I FINANCES | RELACIONS INTERNACIONALS | POLÍTICA% 2
TREBALL | URBANISME I HABITATGE% 2
ACCIDENTS I CATÀSTROFES | MEDI AMBIENT | POLÍTICA% 2
RECURSOS TERRITORIALS | ARTS% 2
JUSTÍCIA I ORDRE  PÚBLIC | HISTÒRIA% 2
GASTRONOMIA | ESPORTS% 2
MEDI AMBIENT | MEDI AMBIENT% 2
DEFENSA | FESTES I TRADICIONS% 2
CONFLICTES ARMATS | HISTÒRIA | SOCIETAT% 2
SOCIETAT | ENERGIA% 2
ECONOMIA, COMERÇ I FINANCES | ACCIDENTS I CATÀSTROFES% 2
ECONOMIA, COMERÇ I FINANCES | INDÚSTRIA | TREBALL% 2
MÚSICA | RELIGIÓ% 2
TRANSPORTS I COMUNICACIONS | RELACIONS INTERNACIONALS% 2
SOCIETAT | ECONOMIA, COMERÇ I FINANCES | POLÍTICA% 2
JUSTÍCIA I ORDRE  PÚBLIC | SOCIETAT | ACCIDENTS I CATÀSTROFES% 2
RECURSOS TERRITORIALS | RELACIONS INTERNACIONALS% 2
CINEMA | ENSENYAMENT% 2
ENSENYAMENT | POLÍTICA | JUSTÍCIA I ORDRE  PÚBLIC% 2
JUSTÍCIA I ORDRE  PÚBLIC | ACCIDENTS I CATÀSTROFES | SOCIETAT% 2
CIÈNCIA I INVESTIGACIÓ | MEDICINA I SANITAT | SOCIETAT% 2
ESPORTS | SOCIETAT | MEDICINA I SANITAT% 2
RELIGIÓ | SOCIETAT | JUSTÍCIA I ORDRE  PÚBLIC% 2
FESTES I TRADICIONS | RELIGIÓ | SOCIETAT% 2
SOCIETAT | RELIGIÓ | FESTES I TRADICIONS% 2
ECONOMIA, COMERÇ I FINANCES | INDÚSTRIA | POLÍTICA% 2
ARTS | TRANSPORTS I COMUNICACIONS% 2
JUSTÍCIA I ORDRE  PÚBLIC | URBANISME I HABITATGE | POLÍTICA% 2
ACCIDENTS I CATÀSTROFES | POLÍTICA | RELACIONS INTERNACIONALS% 2
TREBALL | POLÍTICA | ECONOMIA, COMERÇ I FINANCES% 2
CONFLICTES ARMATS | CIÈNCIA I INVESTIGACIÓ% 2
JUSTÍCIA I ORDRE  PÚBLIC | RELACIONS INTERNACIONALS | TERRORISME% 2
CINEMA | INDÚSTRIA% 2
SOCIETAT | ACTUALITAT ROSA% 2
ACCIDENTS I CATÀSTROFES | JUSTÍCIA I ORDRE  PÚBLIC | POLÍTICA% 2
TURISME | HISTÒRIA% 2
CONFLICTES ARMATS | ACCIDENTS I CATÀSTROFES% 2
ENERGIA | OBRES PÚBLIQUES I INFRAESTRUCTURES% 2
ARTS | OBRES PÚBLIQUES I INFRAESTRUCTURES% 2
TURISME | MÚSICA% 2
POLÍTICA | ESPECTACLES% 2
TREBALL | TERRORISME% 2
JUSTÍCIA I ORDRE  PÚBLIC | INDÚSTRIA% 2
ECONOMIA, COMERÇ I FINANCES | POLÍTICA | RELACIONS INTERNACIONALS% 2
SOCIETAT | JUSTÍCIA I ORDRE  PÚBLIC | ACCIDENTS I CATÀSTROFES% 2
TERRORISME | CIÈNCIA I INVESTIGACIÓ% 2
OBRES PÚBLIQUES I INFRAESTRUCTURES | TERRORISME% 2
MEDI AMBIENT | FESTES I TRADICIONS% 2
ENSENYAMENT | AGRICULTURA, RAMADERIA I PESCA% 2
JUSTÍCIA I ORDRE  PÚBLIC | POLÍTICA | TERRORISME% 2
ACCIDENTS I CATÀSTROFES | TAUROMÀQUIA% 2
TERRORISME | OBRES PÚBLIQUES I INFRAESTRUCTURES% 2
HISTÒRIA | DEFENSA% 1
POLÍTICA | CULTURA | ECONOMIA, COMERÇ I FINANCES% 1
TRANSPORTS I COMUNICACIONS | INDÚSTRIA% 1
MITJANS DE COMUNICACIÓ | HISTÒRIA% 1
AGRICULTURA, RAMADERIA I PESCA | RELACIONS INTERNACIONALS% 1
TURISME | CINEMA% 1
ENSENYAMENT | CINEMA% 1
JUSTÍCIA I ORDRE  PÚBLIC | POLÍTICA | DEFENSA% 1
SOCIETAT | TREBALL | JUSTÍCIA I ORDRE  PÚBLIC% 1
SOCIETAT | JUSTÍCIA I ORDRE  PÚBLIC | TREBALL% 1
ARTS | MITJANS DE COMUNICACIÓ% 1
RELIGIÓ | LITERATURA% 1
LITERATURA | RELIGIÓ% 1
CIÈNCIA I INVESTIGACIÓ | MITJANS DE COMUNICACIÓ% 1
HISTÒRIA | ECONOMIA, COMERÇ I FINANCES% 1
GASTRONOMIA | CINEMA% 1
DEFENSA | POLÍTICA | JUSTÍCIA I ORDRE  PÚBLIC% 1
ESPECTACLES | MITJANS DE COMUNICACIÓ% 1
RELIGIÓ | FENÒMENS NATURALS | FESTES I TRADICIONS% 1
FESTES I TRADICIONS | RELIGIÓ | FENÒMENS NATURALS% 1
HISTÒRIA | FESTES I TRADICIONS% 1
TREBALL | TRANSPORTS I COMUNICACIONS | FENÒMENS NATURALS% 1
OBRES PÚBLIQUES I INFRAESTRUCTURES | RECURSOS TERRITORIALS% 1
RECURSOS TERRITORIALS | JUSTÍCIA I ORDRE  PÚBLIC% 1
ESPECTACLES | FENÒMENS NATURALS% 1
ECONOMIA, COMERÇ I FINANCES | SOCIETAT | POLÍTICA% 1
INDÚSTRIA | ECONOMIA, COMERÇ I FINANCES | TURISME% 1
ECONOMIA, COMERÇ I FINANCES | TURISME | INDÚSTRIA% 1
MITJANS DE COMUNICACIÓ | FENÒMENS NATURALS | ACCIDENTS I CATÀSTROFES% 1
ENSENYAMENT | ACCIDENTS I CATÀSTROFES% 1
TREBALL | ECONOMIA, COMERÇ I FINANCES | ACCIDENTS I CATÀSTROFES% 1
POLÍTICA | ECONOMIA, COMERÇ I FINANCES | ACCIDENTS I CATÀSTROFES% 1
JUSTÍCIA I ORDRE  PÚBLIC | AGRICULTURA, RAMADERIA I PESCA | OBRES PÚBLIQUES I INFRAESTRUCTURES% 1
OBRES PÚBLIQUES I INFRAESTRUCTURES | AGRICULTURA, RAMADERIA I PESCA | JUSTÍCIA I ORDRE  PÚBLIC% 1
SOCIETAT | MEDI AMBIENT | JUSTÍCIA I ORDRE  PÚBLIC% 1
MEDI AMBIENT | MITJANS DE COMUNICACIÓ | JUSTÍCIA I ORDRE  PÚBLIC% 1
MEDI AMBIENT | JUSTÍCIA I ORDRE  PÚBLIC | ENERGIA% 1
POLÍTICA | MEDI AMBIENT | JUSTÍCIA I ORDRE  PÚBLIC% 1
MEDI AMBIENT | OBRES PÚBLIQUES I INFRAESTRUCTURES | TRANSPORTS I COMUNICACIONS% 1
ENERGIA | JUSTÍCIA I ORDRE  PÚBLIC | MEDI AMBIENT% 1
ACCIDENTS I CATÀSTROFES | FENÒMENS NATURALS | TRANSPORTS I COMUNICACIONS% 1
TREBALL | SOCIETAT | FESTES I TRADICIONS% 1
HISTÒRIA | ARTS% 1
POLÍTICA | ACCIDENTS I CATÀSTROFES | SOCIETAT% 1
ECONOMIA, COMERÇ I FINANCES | URBANISME I HABITATGE | MEDI AMBIENT% 1
TRANSPORTS I COMUNICACIONS | SOCIETAT | CIÈNCIA I INVESTIGACIÓ% 1
MEDI AMBIENT | ENERGIA | RECURSOS TERRITORIALS% 1
RECURSOS TERRITORIALS | ENERGIA% 1
AGRICULTURA, RAMADERIA I PESCA | INDÚSTRIA | TRANSPORTS I COMUNICACIONS | RECURSOS TERRITORIALS% 1
SOCIETAT | POLÍTICA | CULTURA% 1
SOCIETAT | FESTES I TRADICIONS | GASTRONOMIA% 1
TRANSPORTS I COMUNICACIONS | MITJANS DE COMUNICACIÓ% 1
URBANISME I HABITATGE | POLÍTICA | HISTÒRIA% 1
RELIGIÓ | OBRES PÚBLIQUES I INFRAESTRUCTURES% 1
JUSTÍCIA I ORDRE  PÚBLIC | RELIGIÓ | ARTS% 1
TREBALL | CIÈNCIA I INVESTIGACIÓ% 1
TREBALL | DEFENSA% 1
OBRES PÚBLIQUES I INFRAESTRUCTURES | INDÚSTRIA% 1
ESPORTS | ARTS% 1
URBANISME I HABITATGE | MÚSICA% 1
MEDI AMBIENT | URBANISME I HABITATGE | INDÚSTRIA% 1
INDÚSTRIA | ENSENYAMENT% 1
ENSENYAMENT | INDÚSTRIA% 1
ESPORTS | SOCIETAT | FESTES I TRADICIONS% 1
INDÚSTRIA | TERRORISME% 1
CONFLICTES ARMATS | SOCIETAT | RELACIONS INTERNACIONALS% 1
POLÍTICA | CIÈNCIA I INVESTIGACIÓ | TREBALL% 1
JUSTÍCIA I ORDRE  PÚBLIC | OBRES PÚBLIQUES I INFRAESTRUCTURES | POLÍTICA% 1
CIÈNCIA I INVESTIGACIÓ | ENSENYAMENT | INDÚSTRIA% 1
INDÚSTRIA | MEDICINA I SANITAT | SOCIETAT% 1
ECONOMIA, COMERÇ I FINANCES | OBRES PÚBLIQUES I INFRAESTRUCTURES | POLÍTICA% 1
SOCIETAT | TRANSPORTS I COMUNICACIONS | ACCIDENTS I CATÀSTROFES% 1
RECURSOS TERRITORIALS | FENÒMENS NATURALS% 1
TREBALL | CULTURA% 1
RECURSOS TERRITORIALS | HISTÒRIA% 1
MEDICINA I SANITAT | ENSENYAMENT | DEFENSA% 1
TREBALL | ECONOMIA, COMERÇ I FINANCES | TRANSPORTS I COMUNICACIONS% 1
FENÒMENS NATURALS | AGRICULTURA, RAMADERIA I PESCA | POLÍTICA% 1
LITERATURA | SOCIETAT | POLÍTICA% 1
CULTURA | GASTRONOMIA% 1
POLÍTICA | ACCIDENTS I CATÀSTROFES | FENÒMENS NATURALS% 1
GASTRONOMIA | ARTS% 1
FENÒMENS NATURALS | RECURSOS TERRITORIALS% 1
RELACIONS INTERNACIONALS | ENSENYAMENT% 1
RELACIONS INTERNACIONALS | TRANSPORTS I COMUNICACIONS% 1
MEDICINA I SANITAT | INDÚSTRIA | INDÚSTRIA% 1
ECONOMIA, COMERÇ I FINANCES | MEDICINA I SANITAT | ACCIDENTS I CATÀSTROFES% 1
ACCIDENTS I CATÀSTROFES | MÚSICA% 1
ARTS | RELIGIÓ | TURISME% 1
TURISME | ECONOMIA, COMERÇ I FINANCES | POLÍTICA% 1
TREBALL | FESTES I TRADICIONS% 1
ECONOMIA, COMERÇ I FINANCES | MEDICINA I SANITAT | TREBALL% 1
DEFENSA | CULTURA% 1
RELIGIÓ | MEDI AMBIENT% 1
TREBALL | ECONOMIA, COMERÇ I FINANCES | MEDICINA I SANITAT% 1
TRANSPORTS I COMUNICACIONS | TURISME | MEDICINA I SANITAT% 1
RELACIONS INTERNACIONALS | TRANSPORTS I COMUNICACIONS | MEDICINA I SANITAT% 1
LITERATURA | TREBALL% 1
SOCIETAT | MEDICINA I SANITAT | CIÈNCIA I INVESTIGACIÓ% 1
FESTES I TRADICIONS | RELIGIÓ | MEDICINA I SANITAT% 1
JUSTÍCIA I ORDRE  PÚBLIC | SOCIETAT | MEDICINA I SANITAT% 1
TREBALL | TREBALL% 1
POLÍTICA | SOCIETAT | MEDICINA I SANITAT% 1
RELIGIÓ | MEDICINA I SANITAT | JUSTÍCIA I ORDRE  PÚBLIC% 1
TRANSPORTS I COMUNICACIONS | MEDICINA I SANITAT | TREBALL% 1
POLÍTICA | MEDICINA I SANITAT | ECONOMIA, COMERÇ I FINANCES% 1
MEDICINA I SANITAT | ESPECTACLES | ENSENYAMENT% 1
MEDICINA I SANITAT | LITERATURA% 1
MEDICINA I SANITAT | ARTS% 1
ARTS | TREBALL% 1
TRANSPORTS I COMUNICACIONS | GASTRONOMIA% 1
CULTURA | FESTES I TRADICIONS | RELIGIÓ% 1
TURISME | SOCIETAT | MEDICINA I SANITAT% 1
FENÒMENS NATURALS | FENÒMENS NATURALS% 1
AGRICULTURA, RAMADERIA I PESCA | MEDICINA I SANITAT | POLÍTICA% 1
TURISME | ECONOMIA, COMERÇ I FINANCES | TREBALL% 1
CINEMA | ESPECTACLES | CULTURA% 1
INDÚSTRIA | ARTS% 1
ARTS | LITERATURA% 1
TURISME | OBRES PÚBLIQUES I INFRAESTRUCTURES | TRANSPORTS I COMUNICACIONS% 1
CULTURA | INDÚSTRIA% 1
ECONOMIA, COMERÇ I FINANCES | CULTURA | SOCIETAT% 1
POLÍTICA | ECONOMIA, COMERÇ I FINANCES | TURISME% 1
ESPECTACLES | CULTURA | MEDICINA I SANITAT% 1
AGRICULTURA, RAMADERIA I PESCA | TAUROMÀQUIA% 1
ENSENYAMENT | MEDICINA I SANITAT | JUSTÍCIA I ORDRE  PÚBLIC% 1
LITERATURA | TRANSPORTS I COMUNICACIONS% 1
CINEMA | GASTRONOMIA% 1
TERRORISME | MEDICINA I SANITAT | ACCIDENTS I CATÀSTROFES% 1
ESPORTS | SOCIETAT | MITJANS DE COMUNICACIÓ% 1
CINEMA | CINEMA% 1
ESPECTACLES | LITERATURA% 1
MITJANS DE COMUNICACIÓ | TREBALL% 1
AGRICULTURA, RAMADERIA I PESCA | AGRICULTURA, RAMADERIA I PESCA | AGRICULTURA, RAMADERIA I PESCA% 1
ACCIDENTS I CATÀSTROFES | TERRORISME | POLÍTICA | CIÈNCIA I INVESTIGACIÓ% 1
TERRORISME | POLÍTICA | TREBALL | ACCIDENTS I CATÀSTROFES% 1
JUSTÍCIA I ORDRE  PÚBLIC | ACCIDENTS I CATÀSTROFES | ECONOMIA, COMERÇ I FINANCES% 1
URBANISME I HABITATGE | TERRORISME% 1
CONFLICTES ARMATS | CONFLICTES ARMATS% 1
RELIGIÓ | CIÈNCIA I INVESTIGACIÓ% 1
ESPECTACLES | JUSTÍCIA I ORDRE  PÚBLIC% 1
ACCIDENTS I CATÀSTROFES | CINEMA% 1
CINEMA | ACCIDENTS I CATÀSTROFES% 1
RELACIONS INTERNACIONALS | CONFLICTES ARMATS | SOCIETAT% 1
OBRES PÚBLIQUES I INFRAESTRUCTURES | FENÒMENS NATURALS% 1
CONFLICTES ARMATS | MEDICINA I SANITAT% 1
MEDICINA I SANITAT | ENERGIA% 1
TRANSPORTS I COMUNICACIONS | CIÈNCIA I INVESTIGACIÓ% 1
ACCIDENTS I CATÀSTROFES | OBRES PÚBLIQUES I INFRAESTRUCTURES | ECONOMIA, COMERÇ I FINANCES% 1
TERRORISME | URBANISME I HABITATGE% 1
MEDICINA I SANITAT | ACCIDENTS I CATÀSTROFES | CIÈNCIA I INVESTIGACIÓ% 1
TREBALL | ESPORTS% 1
SOCIETAT | SOCIETAT | SOCIETAT | SOCIETAT% 1
URBANISME I HABITATGE | ACCIDENTS I CATÀSTROFES | INDÚSTRIA% 1
FENÒMENS NATURALS | ENERGIA | SOCIETAT% 1
ACCIDENTS I CATÀSTROFES | ESPORTS | FENÒMENS NATURALS% 1
AGRICULTURA, RAMADERIA I PESCA | FENÒMENS NATURALS | POLÍTICA% 1
ACCIDENTS I CATÀSTROFES | AGRICULTURA, RAMADERIA I PESCA | FENÒMENS NATURALS% 1
TERRORISME | CONFLICTES ARMATS | ACCIDENTS I CATÀSTROFES% 1
